timestamp,phase,component,eventType,message,details
2026-06-05T05:41:39.695Z,orchestrator,Harness,run_start,Starting harness run 20260605_054139_f9dd6080,"{""scenarioId"": ""disk_insufficient_space""}"
2026-06-05T05:41:39.709Z,phase1,HealthChecker,phase_start,Phase 1: Smart Installer setup verification,{}
2026-06-05T05:41:39.779Z,phase1,HealthChecker,health_check,smart_installer_importable: PASS,"{""name"": ""smart_installer_importable"", ""passed"": true, ""detail"": ""smartinstall package importable (version=0.1.0)""}"
2026-06-05T05:41:39.781Z,phase1,HealthChecker,health_check,config_valid: PASS,"{""name"": ""config_valid"", ""passed"": true, ""detail"": ""smartinstall.config.json valid""}"
2026-06-05T05:41:39.782Z,phase1,HealthChecker,health_check,logging_active: PASS,"{""name"": ""logging_active"", ""passed"": true, ""detail"": ""Logging directory writable: D:\\Autodesk Technology Project\\Smart Installer AI\\smartinstaller_AI\\logs""}"
2026-06-05T05:41:39.783Z,phase1,HealthChecker,health_check,directories_ready: PASS,"{""name"": ""directories_ready"", ""passed"": true, ""detail"": ""Standard project directories ready""}"
2026-06-05T05:41:39.783Z,phase1,HealthChecker,health_check,monitoring_service: PASS,"{""name"": ""monitoring_service"", ""passed"": true, ""detail"": ""Background monitoring service active or starting""}"
2026-06-05T05:41:39.783Z,phase1,HealthChecker,health_check,rag_connectivity: PASS,"{""name"": ""rag_connectivity"", ""passed"": true, ""detail"": ""Ollama RAG backend reachable at http://127.0.0.1:11434""}"
2026-06-05T05:41:39.785Z,phase1,HealthChecker,health_check,telemetry_logging: PASS,"{""name"": ""telemetry_logging"", ""passed"": true, ""detail"": ""Telemetry output directory ready: D:\\Autodesk Technology Project\\Smart Installer AI\\smartinstaller_AI\\failure_harness\\artifacts""}"
2026-06-05T05:41:39.785Z,phase1,HealthChecker,health_check,health_checks_pass: PASS,"{""name"": ""health_checks_pass"", ""passed"": true, ""detail"": ""All health checks passed""}"
2026-06-05T05:41:39.785Z,phase1,HealthChecker,phase_complete,Phase 1 complete — success=True,{}
2026-06-05T05:41:39.787Z,phase2,Orchestrator,phase_start,Phase 2: Test app install with scenario 'disk_insufficient_space',{}
2026-06-05T05:41:39.809Z,phase2,SmartInstaller,install_start,Starting monitored install of TestAppSetup_disk_insufficient_space.exe,"{""scenarioId"": ""disk_insufficient_space""}"
2026-06-05T05:42:13.698Z,phase2,SmartInstaller,failure_detected,"Failure detected (outcome=failure, errors=2)","{""reportPath"": ""D:\\Autodesk Technology Project\\Smart Installer AI\\smartinstaller_AI\\reports\\testappfailureinjection_failure_20260605_ef8f88f0.json"", ""errorCount"": 2}"
2026-06-05T05:42:13.698Z,phase2,Orchestrator,phase_complete,Phase 2 complete — success=True,{}
2026-06-05T05:42:13.703Z,phase2,RAG,rag_request,Validating RAG response for report D:\Autodesk Technology Project\Smart Installer AI\smartinstaller_AI\reports\testappfailureinjection_failure_20260605_ef8f88f0.json,{}
